,NAV
2006-02-28,1.0
2006-03-01,1.00826936218641
2006-03-02,1.0079886320414464
2006-03-03,1.01965329581992
2006-03-06,1.011511284748576
2006-03-07,1.0175146954220655
2006-03-08,1.0282976488473612
2006-03-09,1.0378330408768657
2006-03-10,1.045531684141638
2006-03-13,1.0513141938332595
2006-03-14,1.0618392165142871
2006-03-15,1.0676500314365625
2006-03-16,1.0634179803397625
2006-03-17,1.060341325194849
2006-03-20,1.0624163435782763
2006-03-21,1.0724148103112383
2006-03-22,1.0806970324590819
2006-03-23,1.086536546060621
2006-03-24,1.0952497032623856
2006-03-27,1.1008584510221573
2006-03-28,1.1078350958254877
2006-03-29,1.1116789226642578
2006-03-30,1.1201632900205
2006-03-31,1.1355661127395953
2006-04-03,1.1405023911320782
2006-04-04,1.160557400778896
2006-04-05,1.178054191384276
2006-04-06,1.192662668564397
2006-04-07,1.1661775466940565
2006-04-10,1.1923004223085731
2006-04-11,1.2135277767126844
2006-04-12,1.2149664307649044
2006-04-13,1.2150234000770845
2006-04-14,1.226169646455264
2006-04-17,1.223129315853441
2006-04-18,1.2366084026311568
2006-04-19,1.2356785984464576
2006-04-20,1.2347494933802665
2006-04-21,1.2581047965656091
2006-04-24,1.262497037712088
2006-04-25,1.2714319690396316
2006-04-26,1.272537145148465
2006-04-27,1.2785091869626202
2006-04-28,1.2667354684603107
2006-05-08,1.2832943755360584
2006-05-09,1.2998232462398875
2006-05-10,1.3035002574485586
2006-05-11,1.3183121287312451
2006-05-12,1.3302929726862456
2006-05-15,1.3448002395413199
2006-05-16,1.3420318329635506
2006-05-17,1.3481402762052614
2006-05-18,1.3590812236170384
2006-05-19,1.3667986216690664
2006-05-22,1.3249505778937212
2006-05-23,1.3061585043775512
2006-05-24,1.2749608926590688
2006-05-25,1.2288776257349945
2006-05-26,1.2312474568168121
2006-05-29,1.235313684726406
2006-05-30,1.2549595984263942
2006-05-31,1.2675449412635502
2006-06-01,1.277284081215676
2006-06-02,1.2863696624060919
2006-06-05,1.305872284304096
2006-06-06,1.2972716920424465
2006-06-07,1.2929689644495583
2006-06-08,1.3072638709740545
2006-06-09,1.3134538627435086
2006-06-12,1.2989671240630873
2006-06-13,1.296917838378187
2006-06-14,1.2730470658868196
2006-06-15,1.2468091169509694
2006-06-16,1.2519759646665045
2006-06-19,1.2596843990146636
2006-06-20,1.2350802738720457
2006-06-21,1.2241047273929202
2006-06-22,1.222847283335728
2006-06-23,1.2248040548863324
2006-06-26,1.2139200810670077
2006-06-27,1.1941891643119344
2006-06-28,1.2213622992462576
2006-06-29,1.236695162299287
2006-06-30,1.2217041280452716
