Date,PortfolioValue
2007-01-22,1.0422864
2007-01-23,1.0491934
2007-01-24,1.0587622
2007-01-25,1.0161157
2007-01-26,1.0218899
2007-01-29,1.0553522
2007-01-30,1.0541136
2007-01-31,1.0079834
2007-02-01,1.0153565
2007-02-02,0.9988423
2007-02-05,1.0092866
2007-02-06,1.0323666
2007-02-07,1.0487376
2007-02-08,1.0688293
2007-02-09,1.0718124
2007-02-12,1.0977179
2007-02-13,1.1173415
2007-02-14,1.1418409
2007-02-15,1.1756871
2007-02-16,1.1897202
2007-02-26,1.2381792
2007-02-27,1.1398617
2007-02-28,1.1908145
2007-03-01,1.1704402
2007-03-02,1.1911166
2007-03-05,1.1926826
2007-03-06,1.1965421
2007-03-07,1.2237736
2007-03-08,1.2490876
2007-03-09,1.2513404
2007-03-12,1.2795093
2007-03-13,1.298961
2007-03-14,1.2940834
2007-03-15,1.3201909
2007-03-16,1.2968512
2007-03-19,1.3125067
2007-03-20,1.3428115
2007-03-21,1.368196
2007-03-22,1.3771212
2007-03-23,1.3949409
2007-03-26,1.4299761
2007-03-27,1.4508299
2007-03-28,1.4363976
2007-03-29,1.4060363
2007-03-30,1.4193335
2007-04-02,1.4517841
2007-04-03,1.4740226
2007-04-04,1.4897671
2007-04-05,1.5147187
2007-04-06,1.5356398
2007-04-09,1.5616643
2007-04-10,1.5735829
2007-04-11,1.5932233
2007-04-12,1.6292813
2007-04-13,1.644634
2007-04-16,1.6932411
2007-04-17,1.7440758
2007-04-18,1.7859297
2007-04-19,1.7002704
2007-04-20,1.781633
2007-04-23,1.8540335
2007-04-24,1.8677324
2007-04-25,1.8670346
2007-04-26,1.8920823
2007-04-27,1.8866428
2007-04-30,1.9171622
2007-05-03,1.9171622
2007-05-04,1.9171622
2007-05-08,1.9953879
2007-05-09,2.0029511
2007-05-10,2.0254853
2007-05-11,2.0226376
2007-05-14,2.0375564
2007-05-15,1.9837382
2007-05-16,2.034801
2007-05-17,2.0865917
2007-05-18,2.103152
2007-05-21,2.160005
2007-05-22,2.2052798
2007-05-23,2.2620988
2007-05-24,2.2505116
2007-05-25,2.2839823
2007-05-28,2.3333173
2007-05-29,2.3688154
2007-05-30,2.1916509
2007-05-31,2.103836
2007-06-01,1.9688611
2007-06-04,1.8144748
2007-06-05,1.8268973
2007-06-06,1.85024
2007-06-07,1.9303898
2007-06-08,1.9639498
2007-06-11,1.999649
2007-06-12,2.043076
2007-06-13,2.11862
2007-06-14,2.091709
2007-06-15,2.0880249
2007-06-18,2.1474688
2007-06-19,2.1841235
2007-06-20,2.1323202
2007-06-21,2.124959
2007-06-22,2.0124607
2007-06-25,1.8880744
2007-06-26,1.9156977
2007-06-27,1.9562033
2007-06-28,1.8394979
2007-06-29,1.7637184
2007-07-02,1.7894398
2007-07-03,1.8138777
2007-07-04,1.7717568
2007-07-05,1.6740355
2007-07-06,1.7660851
2007-07-09,1.8187976
2007-07-10,1.7713478
2007-07-11,1.7917938
2007-07-12,1.8054494
2007-07-13,1.8010296
2007-07-16,1.7483103
2007-07-17,1.7819958
2007-07-18,1.7851801
2007-07-19,1.7991736
2007-07-20,1.8600309
2007-07-23,1.9525843
2007-07-24,1.9545859
2007-07-25,2.0083344
2007-07-26,2.0483437
2007-07-27,2.0875657
2007-07-30,2.132121
2007-07-31,2.1610308
2007-08-01,2.0555394
2007-08-02,2.124577
2007-08-03,2.1528175
2007-08-06,2.1952515
2007-08-07,2.1892066
2007-08-08,2.1603694
2007-08-09,2.1808457
2007-08-10,2.1395001
2007-08-13,2.1360164
2007-08-14,2.1889806
2007-08-15,2.182978
2007-08-16,2.197038
2007-08-17,2.1816146
2007-08-20,2.2608325
2007-08-21,2.2833266
2007-08-22,2.3133295
2007-08-23,2.3400707
2007-08-24,2.3535812
2007-08-27,2.3588855
2007-08-28,2.3586295
2007-08-29,2.340863
2007-08-30,2.414599
2007-08-31,2.4433942
2007-09-03,2.501287
2007-09-04,2.484186
2007-09-05,2.5056782
2007-09-06,2.5318036
2007-09-07,2.4807608
2007-09-10,2.529597
2007-09-11,2.3880107
2007-09-12,2.4087658
2007-09-13,2.4524965
2007-09-14,2.4900002
2007-09-17,2.5426583
2007-09-18,2.5573869
2007-09-19,2.527456
2007-09-20,2.5586553
2007-09-21,2.5384476
2007-09-24,2.5470858
2007-09-25,2.5245068
2007-09-26,2.4914663
2007-09-27,2.512755
2007-09-28,2.5637507
2007-10-08,2.5592136
2007-10-09,2.5808432
2007-10-10,2.564511
2007-10-11,2.5233767
2007-10-12,2.4662378
2007-10-15,2.472166
2007-10-16,2.5036747
2007-10-17,2.5048733
2007-10-18,2.4550648
2007-10-19,2.4465444
2007-10-22,2.3841202
2007-10-23,2.3834126
2007-10-24,2.3381782
2007-10-25,2.180913
2007-10-26,2.1847687
2007-10-29,2.21397
2007-10-30,2.2686353
2007-10-31,2.3484313
2007-11-01,2.287598
2007-11-02,2.243699
2007-11-05,2.2690883
2007-11-06,2.2850194
2007-11-07,2.2802436
2007-11-08,2.2003686
2007-11-09,2.1791775
2007-11-12,2.1490333
2007-11-13,2.161322
2007-11-14,2.2330701
2007-11-15,2.206859
2007-11-16,2.2104573
2007-11-19,2.2647636
2007-11-20,2.2944279
2007-11-21,2.266174
2007-11-22,2.1729445
2007-11-23,2.2121825
2007-11-26,2.1981218
2007-11-27,2.181101
2007-11-28,2.1719964
2007-11-29,2.2235818
2007-11-30,2.1959488
2007-12-03,2.217984
2007-12-04,2.2271917
2007-12-05,2.2652683
2007-12-06,2.2772746
2007-12-07,2.314781
2007-12-10,2.3720155
2007-12-11,2.3995647
2007-12-12,2.4106
2007-12-13,2.34212
2007-12-14,2.3911169
2007-12-17,2.3948035
2007-12-18,2.3739617
2007-12-19,2.42219
2007-12-20,2.4501696
2007-12-21,2.4843645
2007-12-24,2.5207918
2007-12-25,2.5448291
2007-12-26,2.5897818
2007-12-27,2.622592
2007-12-28,2.6169796
2008-01-02,2.694688
2008-01-03,2.7491603
2008-01-04,2.7601805
2008-01-07,2.8082159
2008-01-08,2.7434154
2008-01-09,2.8168213
2008-01-10,2.8318532
2008-01-11,2.8248813
2008-01-14,2.8623972
2008-01-15,2.886155
2008-01-16,2.850703
2008-01-17,2.7875805
2008-01-18,2.8094053
2008-01-21,2.6967504
2008-01-22,2.4866478
2008-01-23,2.5898972
2008-01-24,2.661893
2008-01-25,2.6681113
2008-01-28,2.4940047
2008-01-29,2.529401
2008-01-30,2.540805
2008-01-31,2.4604826
2008-02-01,2.3607714
2008-02-04,2.5373209
2008-02-05,2.5485685
2008-02-13,2.5376685
2008-02-14,2.5864875
2008-02-15,2.5732493
2008-02-18,2.6425793
2008-02-19,2.6910756
2008-02-20,2.6683521
2008-02-21,2.697323
2008-02-22,2.6417847
2008-02-25,2.5575354
2008-02-26,2.5635846
2008-02-27,2.623856
2008-02-28,2.6337285
2008-02-29,2.6683927
2008-03-03,2.7494557
2008-03-04,2.7335508
2008-03-05,2.7502773
2008-03-06,2.7648942
2008-03-07,2.7151828
2008-03-10,2.6313686
2008-03-11,2.6641836
2008-03-12,2.603718
2008-03-13,2.512658
2008-03-14,2.4943104
2008-03-17,2.3208938
2008-03-18,2.1658416
2008-03-19,2.2490923
2008-03-20,2.3264894
2008-03-21,2.3552315
2008-03-24,2.3062425
2008-03-25,2.3369832
2008-03-26,2.3303518
2008-03-27,2.2138138
2008-03-28,2.2730153
2008-03-31,2.175365
2008-04-01,2.0109882
2008-04-02,1.9083592
2008-04-03,1.9480999
2008-04-07,2.0622704
2008-04-08,2.104608
2008-04-09,1.9964211
2008-04-10,2.0446072
2008-04-11,2.0755405
2008-04-14,1.9750708
2008-04-15,2.0258934
2008-04-16,1.978315
2008-04-17,1.907426
2008-04-18,1.8157316
2008-04-21,1.8023348
2008-04-22,1.775862
2008-04-23,1.8508073
2008-04-24,2.0065706
2008-04-25,2.0252435
2008-04-28,2.012822
2008-04-29,2.0362394
2008-04-30,2.109449
2008-05-05,2.1773582
2008-05-06,2.1702757
2008-05-07,2.0860193
2008-05-08,2.148827
2008-05-09,2.1485
2008-05-12,2.1878521
2008-05-13,2.1919596
2008-05-14,2.2423937
2008-05-15,2.2295756
2008-05-16,2.205395
2008-05-19,2.2074971
2008-05-20,2.085565
2008-05-21,2.1299882
2008-05-22,2.1120765
2008-05-23,2.0923457
2008-05-26,2.034979
2008-05-27,2.0456073
2008-05-28,2.0961912
2008-05-29,2.0497112
2008-05-30,2.0573463
2008-06-02,2.0745735
2008-06-03,2.0672429
2008-06-04,2.0350988
2008-06-05,2.0200503
2008-06-06,2.0066438
2008-06-10,1.8436022
2008-06-11,1.7929986
2008-06-12,1.7753085
2008-06-13,1.6997885
2008-06-16,1.6650689
2008-06-17,1.5724906
2008-06-18,1.6521866
2008-06-19,1.5222539
2008-06-20,1.5471095
2008-06-23,1.5199269
2008-06-24,1.5622518
2008-06-25,1.6438919
2008-06-26,1.6645694
2008-06-27,1.5570716
2008-06-30,1.557847
2008-07-01,1.5254265
2008-07-02,1.5477122
2008-07-03,1.6075451
2008-07-04,1.6075436
2008-07-07,1.6881138
2008-07-08,1.7180054
2008-07-09,1.7674365
2008-07-10,1.7362472
2008-07-11,1.7243363
2008-07-14,1.7588147
2008-07-15,1.7115176
2008-07-16,1.6315018
2008-07-17,1.6158404
2008-07-18,1.6677672
2008-07-21,1.7328488
2008-07-22,1.7424933
2008-07-23,1.7327693
2008-07-24,1.7757809
2008-07-25,1.7643437
2008-07-28,1.7906874
2008-07-29,1.7611958
2008-07-30,1.7559704
2008-07-31,1.6957086
2008-08-01,1.7187818
2008-08-04,1.6797223
2008-08-05,1.633937
2008-08-06,1.6364884
2008-08-07,1.6466615
2008-08-08,1.5358919
2008-08-11,1.4221025
2008-08-12,1.4001508
2008-08-13,1.3974153
2008-08-14,1.4052875
2008-08-15,1.4041337
2008-08-18,1.30685
2008-08-19,1.3264407
2008-08-20,1.4291859
2008-08-21,1.3826746
2008-08-22,1.3610395
2008-08-25,1.3605577
2008-08-26,1.2915007
2008-08-27,1.2914277
2008-08-28,1.2911259
2008-08-29,1.329823
2008-09-01,1.2943896
2008-09-02,1.3026748
2008-09-03,1.2974627
2008-09-04,1.3054764
2008-09-05,1.2463056
2008-09-08,1.1892418
2008-09-09,1.1984591
2008-09-10,1.2075782
2008-09-11,1.1816821
2008-09-12,1.1810827
2008-09-16,1.1539506
2008-09-17,1.1329786
2008-09-18,1.0999604
2008-09-19,1.1992872
2008-09-22,1.2527957
2008-09-23,1.1786516
2008-09-24,1.200476
2008-09-25,1.2305042
2008-09-26,1.2347504
2008-10-06,1.1901814
2008-10-07,1.1877323
2008-10-08,1.1605818
2008-10-09,1.1475224
